,file_name,best_score,BUFFER_SIZE,BATCH_SIZE,GAMMA,TAU,LR_ACTOR,LR_CRITIC,WEIGHT_DECAY,LEARN_EVERY,ACTOR_FC1,CRITIC_FC1,CRITIC_FC2
4,scores_and_pars_test_004.p,3.7355999165028333,100000,128,0.99,0.01,1e-05,0.0001,0.0,1,400,400,300
12,scores_and_pars_test_012.p,1.5984999642707407,100000,128,0.99,0.01,0.0001,0.0001,0.0001,16,400,800,300
9,scores_and_pars_test_009.p,1.2904999711550773,100000,128,0.995,0.01,1e-05,0.0001,0.0,1,400,800,300
0,scores_and_pars_test_000.p,1.1216999749280512,100000,128,0.99,0.01,0.0001,0.0001,0.01,1,400,400,300
11,scores_and_pars_test_011.p,1.0817999758198857,100000,128,0.995,0.001,1e-05,0.001,0.0,16,400,800,300
10,scores_and_pars_test_010.p,1.0625999762490392,100000,32,0.995,0.01,1e-05,0.001,0.0,1,400,800,600
17,scores_and_pars_test_018.p,0.9914999778382481,100000,32,0.995,0.01,0.0001,0.0001,0.01,4,400,400,300
5,scores_and_pars_test_005.p,0.9489999787881971,100000,128,0.99,0.01,1e-05,0.001,0.0001,1,400,800,600
2,scores_and_pars_test_002.p,0.6967999844253063,100000,128,0.995,0.001,0.0001,0.0001,0.0001,4,400,400,300
3,scores_and_pars_test_003.p,0.6691999850422143,100000,128,0.99,0.001,1e-05,0.0001,0.0001,1,400,800,600
15,scores_and_pars_test_016.p,0.6586999852769077,100000,128,0.99,0.01,0.0001,0.0001,0.01,4,400,800,600
24,scores_and_pars_test_014.p,0.6535999853909016,100000,128,0.99,0.001,0.0001,0.0001,0.01,1,400,800,600
20,scores_and_pars_test_021.p,0.6213999861106276,100000,128,0.995,0.01,0.0001,0.001,0.0001,16,400,800,600
6,scores_and_pars_test_006.p,0.6210999861173332,100000,128,0.995,0.01,0.0001,0.001,0.0001,16,400,400,600
16,scores_and_pars_test_017.p,0.6120999863184988,100000,32,0.995,0.001,0.0001,0.0001,0.01,4,400,400,300
21,scores_and_pars_test_022.p,0.5955999866873026,100000,32,0.99,0.001,1e-05,0.001,0.0001,4,400,400,300
22,scores_and_pars_test_023.p,0.5748999871499837,100000,128,0.995,0.01,1e-05,0.0001,0.0001,4,400,400,300
1,scores_and_pars_test_001.p,0.288199993558228,100000,32,0.99,0.01,1e-05,0.001,0.0001,16,400,400,600
19,scores_and_pars_test_020.p,0.054699998777359725,100000,32,0.995,0.001,0.0001,0.001,0.0001,16,400,400,300
13,scores_and_pars_test_013.p,0.0398999991081655,100000,128,0.995,0.001,0.0001,0.0001,0.0,4,400,400,600
7,scores_and_pars_test_007.p,0.03139999929815531,100000,32,0.99,0.01,1e-05,0.0001,0.01,4,400,400,600
23,scores_and_pars_test_024.p,0.017199999615550042,100000,128,0.99,0.001,1e-05,0.0001,0.01,16,400,800,300
8,scores_and_pars_test_008.p,0.011699999738484622,100000,128,0.99,0.01,1e-05,0.0001,0.0001,4,400,400,600
18,scores_and_pars_test_019.p,0.011599999740719796,100000,128,0.99,0.001,0.0001,0.0001,0.01,1,400,800,600
14,scores_and_pars_test_015.p,0.0076999998278915885,100000,128,0.99,0.01,1e-05,0.0001,0.0001,16,400,800,600
